adcode,name_zh,province,reach,area_km2,karst_km2,karst_frac
341024,祁门县,Anhui,downstream,2213.0928539518172,488.2003255587121,0.22059640411696033
341102,琅琊区,Anhui,downstream,267.94074276451096,7.244167053902289,0.027036452086979086
341103,南谯区,Anhui,downstream,1128.2847455587555,137.74755717215774,0.12208581008860633
341122,来安县,Anhui,downstream,1501.6900590454054,0.95610333392561,0.0006366848659392377
341124,全椒县,Anhui,downstream,1576.180385380058,243.0608872068052,0.1542088008842953
341125,定远县,Anhui,downstream,3006.116549724147,190.16762113268027,0.06326022893228501
341126,凤阳县,Anhui,downstream,1921.9878710716212,604.2649763992505,0.31439583230165613
341181,天长市,Anhui,downstream,1754.1820437707177,0.0,0.0
341182,明光市,Anhui,downstream,2360.938724315175,0.0008101500152109071,3.431474128774363e-07
341202,颍州区,Anhui,downstream,613.7587350972798,0.0,0.0
341203,颍东区,Anhui,downstream,678.366580699813,0.0,0.0
341204,颍泉区,Anhui,downstream,652.052386083288,0.0,0.0
341221,临泉县,Anhui,downstream,1839.233674958785,0.0,0.0
341222,太和县,Anhui,downstream,1859.6914468086723,0.0,0.0
341225,阜南县,Anhui,downstream,1810.9231916522733,0.03119742735419236,1.7227360883112913e-05
341226,颍上县,Anhui,downstream,2003.4322983945226,0.0,0.0
341282,界首市,Anhui,downstream,664.0641108215383,0.0,0.0
341302,埇桥区,Anhui,downstream,2905.7168553382444,317.64764113572903,0.1093181672371697
341321,砀山县,Anhui,downstream,1198.9817740571723,0.0,0.0
341322,萧县,Anhui,downstream,1847.9502753883917,455.6940690977181,0.2465943349054362
341323,灵璧县,Anhui,downstream,2130.884264900822,0.0,0.0
341324,泗县,Anhui,downstream,1850.603374718374,0.0,0.0
341502,金安区,Anhui,downstream,1655.3208782253164,0.0,0.0
341503,裕安区,Anhui,downstream,1904.8979504930367,0.0,0.0
341504,叶集区,Anhui,downstream,566.797319901412,0.0,0.0
341522,霍邱县,Anhui,downstream,3227.0907312707463,1067.0064269596392,0.3306403556058305
341523,舒城县,Anhui,downstream,2121.1701507333128,0.0,0.0
341524,金寨县,Anhui,downstream,3918.8193748352755,0.0,0.0
341525,霍山县,Anhui,downstream,2046.2885487034475,0.0,0.0
341602,谯城区,Anhui,downstream,2265.6371076463465,0.0,0.0
341621,涡阳县,Anhui,downstream,2109.608301399785,0.0,0.0
341622,蒙城县,Anhui,downstream,2142.586175942838,0.0,0.0
341623,利辛县,Anhui,downstream,2011.309315195492,0.0,0.0
341702,贵池区,Anhui,downstream,2514.775261823752,1048.4185581871234,0.416903480045686
341721,东至县,Anhui,downstream,3264.2760210902065,1150.768208041678,0.3525339770922139
341722,石台县,Anhui,downstream,1429.5188649595768,1267.9433932483375,0.8869721305036375
341723,青阳县,Anhui,downstream,1194.166013067355,496.76070665913727,0.4159896540541707
341802,宣州区,Anhui,downstream,2632.267410727774,0.0,0.0
341821,郎溪县,Anhui,downstream,1101.625827929153,0.0,0.0
341823,泾县,Anhui,downstream,2035.9922387839435,140.51303932317586,0.06901452601170102
341824,绩溪县,Anhui,downstream,1111.9240284860919,743.7950736402174,0.6689261627459478
341825,旌德县,Anhui,downstream,903.5139208141164,10.988799172778586,0.012162290939443484
341881,宁国市,Anhui,downstream,2427.2548587043675,1318.9238696224322,0.5433808752684727
341882,广德市,Anhui,downstream,2109.985696100287,119.27852246268826,0.05653048865835486
360102,东湖区,Jiangxi,midstream,55.438449543208975,0.0,0.0
360103,西湖区,Jiangxi,midstream,34.67313309565516,0.0,0.0
360104,青云谱区,Jiangxi,midstream,36.88684465783203,0.0,0.0
360111,青山湖区,Jiangxi,midstream,262.7025828074559,0.0,0.0
360112,新建区,Jiangxi,midstream,2198.9769661640435,0.0,0.0
360113,红谷滩区,Jiangxi,midstream,195.6951590835792,0.0,0.0
360121,南昌县,Jiangxi,midstream,1808.190192714385,95.77949311977082,0.05296981119889294
360123,安义县,Jiangxi,midstream,664.8719936424603,0.0,0.0
360124,进贤县,Jiangxi,midstream,1937.6521636491213,545.3704305927417,0.2814594078462784
360202,昌江区,Jiangxi,midstream,324.7732660725915,1.2807330584217118,0.00394346823526863
360203,珠山区,Jiangxi,midstream,113.60791308218471,3.642569263575956,0.03206263687759934
360222,浮梁县,Jiangxi,midstream,2831.515404499308,322.125983894746,0.11376451753816505
360281,乐平市,Jiangxi,midstream,1982.7177770678134,1289.150134312572,0.650193461330165
360302,安源区,Jiangxi,midstream,212.48884585472334,212.4888458547234,1.0
360313,湘东区,Jiangxi,midstream,856.7814945507386,518.1846216355888,0.604803704248192
360321,莲花县,Jiangxi,midstream,1065.944136146615,961.1376745754402,0.9016773412253575
360322,上栗县,Jiangxi,midstream,728.2416986310417,721.7353998139075,0.9910657425558509
360323,芦溪县,Jiangxi,midstream,958.379034562461,430.67092608142246,0.4493743190845585
360402,濂溪区,Jiangxi,midstream,400.15837630658876,167.74771182770232,0.41920329989338845
360403,浔阳区,Jiangxi,midstream,48.001345996948146,0.0,0.0
360404,柴桑区,Jiangxi,midstream,887.9961248913513,437.31497514101846,0.4924739679404852
360423,武宁县,Jiangxi,midstream,3528.907809994969,2828.238358151334,0.8014486380576109
360424,修水县,Jiangxi,midstream,4498.6831157352035,2007.072625862206,0.446146699873569
360425,永修县,Jiangxi,midstream,1945.8776265286533,386.7137812235021,0.19873489265272032
360426,德安县,Jiangxi,midstream,853.4888828648834,751.6568520288074,0.8806873377257602
360428,都昌县,Jiangxi,midstream,2226.2540609858424,1.4279358710257195,0.0006414074188789544
360429,湖口县,Jiangxi,midstream,667.7606695519828,117.55980737231468,0.1760508109158158
360430,彭泽县,Jiangxi,midstream,1548.5480599892667,837.7097256799648,0.5409646283020568
360481,瑞昌市,Jiangxi,midstream,1428.575131319096,1322.7809288008189,0.9259442501840344
360482,共青城市,Jiangxi,midstream,304.7694194408603,0.0,0.0
360483,庐山市,Jiangxi,midstream,770.1451378492487,52.48949284098714,0.06815532587477251
360502,渝水区,Jiangxi,midstream,1792.9430799886527,584.4753478361079,0.32598656051022373
360521,分宜县,Jiangxi,midstream,1372.864415934072,927.4656901641405,0.6755697645008226
360602,月湖区,Jiangxi,midstream,137.3253167513237,0.0,0.0
360603,余江区,Jiangxi,midstream,930.605027398769,0.0,0.0
360681,贵溪市,Jiangxi,midstream,2479.0632064812976,0.0,0.0
