adcode,name_zh,level,province,reach,prefecture_zh,area_km2,county_id
341181,天长市,district,Anhui,downstream,滁州市,1754.1820437707177,341181
341182,明光市,district,Anhui,downstream,滁州市,2360.938724315175,341182
341202,颍州区,district,Anhui,downstream,阜阳市,613.7587350972798,341202
341203,颍东区,district,Anhui,downstream,阜阳市,678.366580699813,341203
341204,颍泉区,district,Anhui,downstream,阜阳市,652.052386083288,341204
341221,临泉县,district,Anhui,downstream,阜阳市,1839.233674958785,341221
341222,太和县,district,Anhui,downstream,阜阳市,1859.6914468086723,341222
341225,阜南县,district,Anhui,downstream,阜阳市,1810.9231916522733,341225
341226,颍上县,district,Anhui,downstream,阜阳市,2003.4322983945226,341226
341282,界首市,district,Anhui,downstream,阜阳市,664.0641108215383,341282
341302,埇桥区,district,Anhui,downstream,宿州市,2905.7168553382444,341302
341321,砀山县,district,Anhui,downstream,宿州市,1198.9817740571723,341321
341322,萧县,district,Anhui,downstream,宿州市,1847.9502753883917,341322
341323,灵璧县,district,Anhui,downstream,宿州市,2130.884264900822,341323
341324,泗县,district,Anhui,downstream,宿州市,1850.603374718374,341324
341502,金安区,district,Anhui,downstream,六安市,1655.3208782253164,341502
341503,裕安区,district,Anhui,downstream,六安市,1904.8979504930367,341503
341504,叶集区,district,Anhui,downstream,六安市,566.797319901412,341504
341522,霍邱县,district,Anhui,downstream,六安市,3227.0907312707463,341522
341523,舒城县,district,Anhui,downstream,六安市,2121.1701507333128,341523
341524,金寨县,district,Anhui,downstream,六安市,3918.8193748352755,341524
341525,霍山县,district,Anhui,downstream,六安市,2046.2885487034475,341525
341602,谯城区,district,Anhui,downstream,亳州市,2265.6371076463465,341602
341621,涡阳县,district,Anhui,downstream,亳州市,2109.608301399785,341621
341622,蒙城县,district,Anhui,downstream,亳州市,2142.586175942838,341622
341623,利辛县,district,Anhui,downstream,亳州市,2011.309315195492,341623
341702,贵池区,district,Anhui,downstream,池州市,2514.775261823752,341702
341721,东至县,district,Anhui,downstream,池州市,3264.2760210902065,341721
